AudioFile,Volume,sentence,Target word
spf_145.wav,1,Mr. White spoke about the firm,firm
spf_258.wav,4,The candle flame melted the wax,wax
spf_176.wav,5,Mary could not discuss the tack,tack
spf_271.wav,5,The boy had considered the mink,mink
spf_141.wav,1,Bill heard Tom called about the coach,coach
spf_79.wav,4,The flood took a heavy toll,toll
spf_77.wav,5,The ship’s captain summoned his crew,crew
spf_44.wav,2,We’re lost so let’s look at the map,map
spf_207.wav,1,Mr. White spoke about the jail,jail
spf_204.wav,1,Mr. Brown can’t discuss the slot,slot
spf_180.wav,2,We’re glad Bill heard about the ash,ash
spf_278.wav,5,The class is discussing the wrist,wrist
spf_259.wav,3,I haven’t discussed the sponge,sponge
spf_56.wav,5,The ducks swam around on the pond,pond
spf_71.wav,2,The baby slept in his crib,crib
spf_209.wav,2,David might consider the fun,fun
spf_64.wav,2,Ruth poured the water down the drain,drain
spf_244.wav,5,To store his wood he built a shed,shed
spf_51.wav,1,Wipe your greasy hands on that rag,rag
spf_143.wav,2,Jane has spoken about the chest,chest
spf_187.wav,5,Her entry should win first prize,prize
spf_107.wav,2,Betty considered the bark,bark
spf_188.wav,5,Paul wants to speak about the bugs,bugs
spf_238.wav,2,Ann works in the bank as a clerk,clerk
spf_113.wav,5,You’d been considering the geese,geese
spf_198.wav,5,Your knees and your elbows are joints,joints
spf_63.wav,4,The cushion was filled with foam,foam
spf_19.wav,5,They had a problem with the cliff,cliff
spf_103.wav,4,The girl swept the floor with a broom,broom
spf_182.wav,1,The sandal has a broken strap,strap
spf_251.wav,5,"Instead of a fence, plant a hedge",hedge
spf_250.wav,2,The fireman heard her frightened scream,scream
spf_95.wav,1,The natives built a wooden hut,hut
spf_184.wav,1,Nancy should consider the fist,fist
spf_17.wav,1,The war was fought with armored tanks,tanks
spf_237.wav,5,Mary can’t consider the tide,tide
spf_55.wav,4,Paul hit the water with a splash,splash
spf_249.wav,5,The airplane went into a dive,dive
spf_248.wav,3,Mary knows about the rug,rug
spf_191.wav,4,A zebra has black and white stripes,stripes
spf_286.wav,1,The boy might consider the trap,trap
spf_199.wav,5,Mr. Smith spoke about the aid,aid
spf_246.wav,3,They heard I asked about the bet,bet
spf_83.wav,5,The policeman captured the crook,crook
spf_234.wav,4,The secret agent was a spy,spy
spf_263.wav,5,Ruth will consider the herd,herd
spf_167.wav,4,How did your car get that dent,dent
spf_190.wav,5,You’re glad she called about the bowl,bowl
spf_74.wav,4,The guests were welcomed by the host,host
spf_57.wav,3,Ruth must have known about the pie,pie
spf_101.wav,3,You want to talk about the ditch,ditch
spf_50.wav,3,I’ve spoken about the pile,pile
spf_247.wav,1,The mouse was caught in the trap,trap
spf_233.wav,1,"It’s getting dark, so light the lamp",lamp
spf_49.wav,3,We spoke about the knob,knob
spf_280.wav,2,They hope he heard about the rent,rent
spf_219.wav,5,We’ve been thinking about the fan,fan
spf_58.wav,4,The man should discuss the ox,ox
spf_383.wav,2,Paul has a problem with the belt,belt
spf_91.wav,1,Follow this road around the bend,bend
spf_137.wav,3,Please wipe your feet on the mat,mat
spf_47.wav,3,My son has a dog for a pet,pet
spf_67.wav,4,The sport shirt has short sleeves,sleeves
spf_25.wav,5,They tracked the lion to his den,den
spf_281.wav,4,Miss Brown shouldn’t discuss the sand,sand
spf_291.wav,1,The doctor charged a low fee,fee
spf_243.wav,3,Paul hopes we heard about the loot,loot
spf_262.wav,2,Ruth had a necklace of glass beads,beads
spf_1.wav,2,His plan meant taking a big risk,risk
spf_288.wav,1,He should consider the roast,roast
spf_272.wav,2,She might consider the pool,pool
spf_133.wav,1,How much can I buy for a dime,dime
spf_257.wav,4,The widow’s sob expressed her grief,grief
spf_111.wav,3,Kill the bugs with this spray,spray
spf_99.wav,2,He heard they called about the lanes,lanes
spf_178.wav,4,The cabin was made of logs,logs
spf_45.wav,1,No one was injured in the crash,crash
spf_220.wav,1,Jane didn’t think about the brook,brook
spf_275.wav,3,He got drunk in the local bar,bar
spf_61.wav,3,The cigarette smoke filled his lungs,lungs
spf_93.wav,2,Miss Black would consider the bone,bone
spf_148.wav,2,She’s spoken about the bomb,bomb
spf_152.wav,1,Raise the flag up the pole,pole
spf_9.wav,1,Let’s decide by tossing a coin,coin
spf_66.wav,4,This nozzle sprays a fine mist,mist
spf_194.wav,3,I hope Paul asked about the mate,mate
spf_22.wav,2,The witness took a solemn oath,oath
spf_163.wav,4,The old man considered the kick,kick
spf_289.wav,4,Miss Brown spoke about the cave,cave
spf_284.wav,4,Bill didn’t discuss the hen,hen
spf_23.wav,4,We could consider the feast,feast
spf_131.wav,1,He is considering the throat,throat
spf_134.wav,2,We can’t consider the wheat,wheat
spf_261.wav,1,You were considering the gang,gang
spf_117.wav,5,He tossed the drowning man a rope,rope
spf_21.wav,3,You heard Jane called about the van,van
spf_73.wav,1,The girl talked about the gin,gin
spf_166.wav,4,Paul could not consider the rim,rim
spf_195.wav,3,Miss Brown will speak about the grin,grin
spf_214.wav,5,He hasn’t considered the dart,dart
spf_75.wav,2,Mary should think about the sword,sword
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
